id,title,genres,tagline,overview
10784,Cabaret,Drama Music Romance,Life is a Cabaret,"Inside the Kit Kat Club of 1931 Berlin, starry-eyed singer Sally Bowles and an impish emcee sound the clarion call to decadent fun, while outside a certain political party grows into a brutal force."
10242,What Ever Happened to Baby Jane?,Drama Horror Thriller,"Sister Sister, Oh So Fair! Why Is There Blood All Over Your Hair?","Two aging film actresses live as virtual recluses in an old Hollywood mansion. Jane Hudson, a successful child star, cares for her crippled sister Blanche, whose career in later years eclipsed that of Jane. Now the two live together, their relationship affected by simmering subconscious thoughts of mutual envy, hate and revenge."
10518,Marathon Man,Thriller,One man's dangerous attempts to clear his father's name.,"A graduate student and obsessive runner in New York is drawn into a mysterious plot involving his brother, a member of the secretive Division."
11977,Caddyshack,Comedy,The snobs against the slobs!,"At an exclusive country club, an ambitious young caddy, Danny Noonan, eagerly pursues a caddy scholarship in hopes of attending college and, in turn, avoiding a job at the lumber yard. In order to succeed, he must first win the favour of the elitist Judge Smails, and then the caddy golf tournament which Smails sponsors."
3536,U-571,Action Drama Thriller War,Heroes are ordinary men who do extraordinary things in extraordinary times.,"In the midst of World War II, the battle under the sea rages and the Nazis have the upper hand as the Allies are unable to crack their war codes. However, after a wrecked U-boat sends out an SOS signal, the Allies realise this is their chance to seize the 'enigma coding machine'."
1443,The Virgin Suicides,Drama Romance,"Beautiful, mysterious, haunting, invariably fatal. Just like life.","A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents."
10564,Where the Heart Is,Comedy Drama Romance,Laughter is harder... Friendship is stronger... Trust is deeper... When it comes from the heart.,"Novalee Nation is a 17-year-old Tennessee transient who has to grow up in a hurry when she's left pregnant and abandoned by her boyfriend on a roadside in Sequoyah, Okla., and takes refuge in the friendly aisles of Wal-Mart. In short order, some eccentric, kindly strangers ""adopt"" Novalee and her infant daughter, helping them buck the odds and build a new life."
98,Gladiator,Action Drama Adventure,A Hero Will Rise.,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death."
5491,Battlefield Earth,Action ScienceFiction War,Take Back The Planet,"In the year 3000, man is no match for the Psychlos, a greedy, manipulative race of aliens on a quest for ultimate profit. Led by the powerful Terl, the Psychlos are stripping Earth clean of its natural resources, using the broken remnants of humanity as slaves. What is left of the human race has descended into a near primitive state. After being captured, it is up to Tyler to save mankind."
5683,Pee-wee's Big Adventure,Adventure Comedy,The story of a rebel and his bike.,"The eccentric and childish Pee-wee Herman embarks on a big adventure when his beloved bicycle is stolen. Armed with information from a fortune-teller and a relentless obsession with his prized possession, Pee-wee encounters a host of odd characters and bizarre situations as he treks across the country to recover his bike."
10567,Dinosaur,Animation Family,You have never seen anything like this.,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.
9285,Road Trip,Comedy Adventure,The greatest college tradition of all.,Four friends take off on an 1800 mile road trip to retrieve an illicit tape mistakenly mailed to a girl friend.
10569,Small Time Crooks,Action Comedy Crime,They took a bite out of crime,A loser of a crook and his wife strike it rich when a botched bank job's cover business becomes a spectacular success.
21484,Possession,Drama Horror,Murder. Evil. Infidelity. Madness.,"A young woman left her family for an unspecified reason. The husband determines to find out the truth and starts following his wife. At first, he suspects that a man is involved. But gradually, he finds out more and more strange behaviors and bizarre incidents that indicate something more than a possessed love affair."
955,Mission: Impossible II,Adventure Action Thriller,Expect the impossible again.,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude."
8584,Shanghai Noon,Adventure Action Comedy Western,The old west meets the far east.,"Chon Wang, a clumsy imperial guard trails Princess Pei Pei when she is kidnapped from the Forbidden City and transported to America. Wang follows her captors to Nevada, where he teams up with an unlikely partner, outcast outlaw Roy O'Bannon, and tries to spring the princess from her imprisonment."
962,The Gold Rush,Adventure Comedy Drama,The World's Greatest Laughing Picture!,A lone prospector ventures into Alaska looking for gold. He gets mixed up with some burly characters and falls in love with the beautiful Georgia. He tries to win her heart with his singular charm.
668,On Her Majesty's Secret Service,Adventure Action Thriller,Far up! Far out! Far more! James Bond 007 is back!,"James Bond tracks archnemesis Ernst Blofeld to a mountaintop retreat where he's training an army of beautiful but lethal women. Along the way, Bond falls for Italian contessa Tracy Draco -- and marries her in order to get closer to Blofeld. Meanwhile, he locates Blofeld in the Alps and embarks on a classic ski chase."
691,The Spy Who Loved Me,Adventure Action Thriller,It's the BIGGEST. It's the BEST. It's BOND. And B-E-Y-O-N-D.,Russian and British submarines with nuclear missiles on board both vanish from sight without a trace. England and Russia both blame each other as James Bond tries to solve the riddle of the disappearing ships. But the KGB also has an agent on the case.
698,Moonraker,Action Adventure Thriller ScienceFiction,Outer space now belongs to 007.,During the transportation of a Space Shuttle a Boeing 747 crashes in the Atlantic Ocean yet when they go to look for the destroyed shuttle it is not there. James Bond investigates the missing mission space shuttle and soon learns that the shuttles owner Hugo Drax wants to kill all of mankind.
682,The Man with the Golden Gun,Adventure Action Thriller,The man with the golden gun is ready to assassinate James Bond.,A golden bullet has 007 engraved on it as it smashes into the secret service headquarters. The bullet came from the professional killer Scaramanga who has yet to miss a target and James Bond begins a mission to try and stop him.
9600,Big Momma's House,Crime Comedy,This FBI agent is going undercover... and he's concealing more than a weapon.,"When a street-smart FBI agent is sent to Georgia to protect a beautiful single mother and her son from an escaped convict, he is forced to impersonate a crass Southern granny known as Big Momma in order to remain incognito."
10911,The Guns of Navarone,Action Adventure Drama War,The Greatest High Adventure Ever Filmed!,"A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers."
11072,Blazing Saddles,Western Comedy,Never give a saga an even break!,"A town – where everyone seems to be named Johnson – is in the way of the railroad and, in order to grab their land, Hedley Lemar, a politically connected nasty person, sends in his henchmen to make the town unlivable. After the sheriff is killed, the town demands a new sheriff from the Governor, so Hedley convinces him to send the town the first black sheriff in the west."
985,Eraserhead,Drama Fantasy Horror ScienceFiction,Where your nightmares end...,"Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child."
14002,Baraka,Documentary,A world beyond words.,"This is a paralyzingly beautiful documentary with a global vision: an odyssey through landscape and time, that is an attempt to capture the essence of life."
938,For a Few Dollars More,Western,"The man with no name is back... the man in black is waiting... a walking arsenal - he uncoils, strikes and kills!","Two bounty hunters are in pursuit of ""El Indio,"" one of the most wanted fugitives in the western territories, and his gang."
10648,Magnum Force,Action Crime Thriller,A man's got to know his limitations.,"""Dirty"" Harry Calahan is a San Francisco Police Inspector on the trail of a group of rogue cops who have taken justice into their own hands. When shady characters are murdered one after another in grisly fashion, only Dirty Harry can stop them."
11368,Blood Simple,Crime Drama Thriller,Breaking up is hard to do.,"The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies and mischief ensues after he devises a plot to have them murdered."
1551,Flatliners,Drama Horror ScienceFiction Thriller,Some lines shouldn't be crossed.,"Five medical students want to find out if there is life after death. They plan to stop one of their hearts for a few seconds, thus simulating death, and then bring the person back to life. A science fiction thriller from the early 1990's with a star studded cast."
10246,Porky's,Comedy,Keep an eye out for the funniest movie about growing up ever made!,"Set in 1954, a group of Florida high schoolers seek out to lose their virginity which leads them to seek revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them."
169,Predator 2,ScienceFiction Action Thriller,Silent. Invisible. Invincible. He's in town with a few days to kill.,"Ten years after a band of mercenaries first battled a vicious alien, the invisible creature from another world has returned to Earth -- and this time, it's drawn to the gang-ruled and ravaged city of Los Angeles. When it starts murdering drug dealers, detective-lieutenant Mike Harrigan and his police force set out to capture the creature, ignoring warnings from a mysterious government agent to stay away."
865,The Running Man,Action ScienceFiction,A game nobody survives. But Schwarzenegger has yet to play.,"By 2017, the global economy has collapsed and American society has become a totalitarian police state, censoring all cultural activity. The government pacifies the populace by broadcasting a number of game shows in which convicted criminals fight for their lives, including the gladiator-style The Running Man, hosted by the ruthless Damon Killian, where “runners” attempt to evade “stalkers” and certain death for a chance to be pardoned and set free."
9663,Starman,Action Adventure Romance ScienceFiction,"In 1977 Voyager II was launched into space, inviting all lifeforms in the universe to visit our planet. Get ready. Company's coming.",An alien takes the form of a young widow's husband and asks her to drive him from Wisconsin to Arizona. The government tries to stop them.
9659,Mad Max,Adventure Action Thriller ScienceFiction,The Maximum Force Of The Future,"In a dystopian future Australia, a vicious biker gang murders a cop's family, and makes his fight with them personal."
8810,Mad Max 2: The Road Warrior,Adventure Action Thriller ScienceFiction,"When all that's left is one last chance, pray that he's still out there ... somewhere!","Max Rockatansky returns as the heroic loner who drives the dusty roads of a postapocalyptic Australian Outback in an unending search for gasoline. Arrayed against him and the other scraggly defendants of a fuel-depot encampment are the bizarre warriors commanded by the charismatic Lord Humungus, a violent leader whose scruples are as barren as the surrounding landscape."
9355,Mad Max Beyond Thunderdome,Action Adventure ScienceFiction,Two men enter. One man leaves.,"Mad Max becomes a pawn in a decadent oasis of a technological society, and when exiled, becomes the deliverer of a colony of children."
1727,Bird on a Wire,Action Adventure Comedy Romance,He's every woman's dream and one woman's nightmare,"A FBI informant has kept his new identity secret for 15 years, now an old flame has recognised him and the bad guys are back for revenge."
635,Angel Heart,Horror Mystery Thriller,Harry Angel has been hired in search for the truth. Pray he doesn't find it.,"The down-and-out private detective Harry Angel is ordered, by a mysterious man named Louis Cyphre, to go on a mission to find a missing person. His routine failure soon leads to a bloody spar with himself as Harry Angel goes on a supernatural journey into his soul."
10068,Nine 1/2 Weeks,Drama Romance,They Broke Every Rule,"An erotic story about a woman, the assistant of an art gallery, who gets involved in an impersonal affair with a man. She barely knows about his life, only about the sex games they play, so the relationship begins to get complicated."
11495,Firestarter,Fantasy Drama Horror Action Thriller,Will she have the power... to survive?,"As youths, Andy McGee (David Keith) and his future wife, Vicky (Heather Locklear), participated in secret experiments, allowing themselves to be subjected to mysterious medical tests. Years later, the couple's daughter, Charlie (Drew Barrymore), begins to exhibit the ability of setting fires solely with her mind. This volatile talent makes the youngster extremely dangerous and soon she becomes a target for the enigmatic agency known as ""The Shop."""
9679,Gone in Sixty Seconds,Action Crime Thriller,"Ice Cold, Hot Wired.","Upon learning that he has to come out of retirement to steal 50 cars in one night to save his brother Kip's life, former car thief Randall ""Memphis"" Raines enlists help from a few ""boost happy"" pals to accomplish a seemingly impossible feat. From countless car chases to relentless cops, the high-octane excitement builds as Randall swerves around more than a few roadblocks to keep Kip alive."
17814,Assault on Precinct 13,Action Crime,L.A.'s deadliest street gang just declared war on the cops.,The lone inhabitants of an abandoned police station are under attack by the overwhelming numbers of a seemingly unstoppable street gang.
592,The Conversation,Crime Drama Mystery,Harry Caul is an invader of privacy. The best in the business.,"Surveillance expert Harry Caul (Gene Hackman) is hired by a mysterious client's brusque aide (Harrison Ford) to tail a young couple, Mark (Frederic Forrest) and Ann (Cindy Williams). Tracking the pair through San Francisco's Union Square, Caul and his associate Stan (John Cazale) manage to record a cryptic conversation between them. Tormented by memories of a previous case that ended badly, Caul becomes obsessed with the resulting tape, trying to determine if the couple are in danger."
9040,Serpico,Crime Drama History,Many of his fellow officers considered him the most dangerous man alive - An honest cop.,The real-life struggle of an honest New York City cop against a corrupt system.
6978,Big Trouble in Little China,Action Adventure Comedy Fantasy,Adventure doesn't come any bigger!,"When trucker, Jack Burton agreed to take his friend, Wang Chi to pick up his fiancee at the airport, he never expected to get involved in a supernatural battle between good and evil. Wang's fiancee has emerald green eyes, which make her a perfect target for immortal sorcerer, Lo Pan and his three invincible cronies. Lo Pan must marry a girl with green eyes so he can regain his physical form."
3133,Badlands,Crime Drama,In 1959 a lot of people were killing time. Kit and Holly were killing people.,"Dramatization of the Starkweather-Fugate killing spree of the 1950s, in which a teenage girl and her twenty-something boyfriend slaughtered her entire family and several others in the Dakota badlands."
643,Battleship Potemkin,Drama History,"Revolution is the only lawful, equal, effectual war. It was in Russia that this war was declared and begu",A dramatized account of a great Russian naval mutiny and a resulting street demonstration which brought on a police massacre. The film had an incredible impact on the development of cinema and was a masterful example of montage editing.
479,Shaft,Action Adventure Crime Thriller,"Still the man, any questions?","New York police detective John Shaft arrests Walter Wade Jr. for a racially motivated slaying. But the only eyewitness disappears, and Wade jumps bail for Switzerland. Two years later Wade returns to face trial, confident his money and influence will get him acquitted -- especially since he's paid a drug kingpin to kill the witness."
7450,Titan A.E.,Animation Action ScienceFiction Family Adventure,"When Earth Ends, The Adventure Begins.","A young man finds out that he holds the key to restoring hope and ensuring survival for the human race, while an alien species called the Dredge are bent on mankind's destruction."
7443,Chicken Run,Animation Comedy Family,This ain't no chick flick. It's poultry in motion.,"Having been hopelessly repressed and facing eventual certain death at the British chicken farm where they are held, Rocky the american rooster and Ginger the chicken decide to rebel against the evil Mr. and Mrs. Tweedy, the farm's owners. Rocky and Ginger lead their fellow chickens in a great escape from the murderous farmers and their farm of doom."
2123,"Me, Myself & Irene",Comedy,From gentle to mental.,"Rhode Island State Trooper Charlie Baileygates has a multiple personality disorder. One personality is crazy and aggressive, while the other is more friendly and laid back. Both of these personalities fall in love with the same woman named Irene after Charlie loses his medication."
2024,The Patriot,Drama History War Action,Some things are worth fighting for.,"After proving himself on the field of battle in the French and Indian War, Benjamin Martin wants nothing more to do with such things, preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation, America, against the British, Benjamin reluctantly returns to his old life to protect his son."
2133,The Perfect Storm,Drama,The storm is coming.,"In October 1991, a confluence of weather conditions combined to form a killer storm in the North Atlantic. Caught in the storm was the sword-fishing boat Andrea Gail. Magnificent foreshadowing and anticipation fill this true-life drama while minute details of the fishing boats, their gear and the weather are juxtaposed with the sea adventure."
4244,The Kid,Fantasy Comedy Family,Nobody ever grows up quite like they imagined.,"Powerful businessman Russ Duritz is self-absorbed and immersed in his work. But by the magic of the moon, he meets Rusty, a chubby, charming 8-year-old version of himself who can't believe he could turn out so badly -- with no life and no dog. With Rusty's help, Russ is able to reconcile the person he used to dream of being with the man he's actually become."
4247,Scary Movie,Comedy,No mercy. No shame. No sequel.,"Following on the heels of popular teen-scream horror movies, with uproarious comedy and biting satire. Marlon and Shawn Wayans, Shannon Elizabeth and Carmen Electra pitch in to skewer some of Hollywood's biggest blockbusters, including Scream, I Know What You Did Last Summer, The Matrix, American Pie and The Blair Witch Project."
1052,Blow-Up,Drama Mystery Thriller,Michelangelo Antonioni's first British film,"A successful mod photographer in London whose world is bounded by fashion, pop music, marijuana, and easy sex, feels his life is boring and despairing. But in the course of a single day he accidentally captures on film the commission of a murder. The fact that he has photographed a murder does not occur to him until he studies and then blows up his negatives, uncovering details, blowing up smaller and smaller elements, and finally putting the puzzle together."
1788,Footloose,Drama Family Music Romance,,"When teenager Ren and his family move from big-city Chicago to a small town in the West, he's in for a real case of culture shock."
36657,X-Men,Adventure Action ScienceFiction,Evolution Begins,"Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers."
2655,What Lies Beneath,Drama Horror Mystery Thriller,He was the perfect husband until his one mistake followed them home.,"When Claire Spencer starts hearing ghostly voices and seeing spooky images, she wonders if an otherworldly spirit is trying to contact her. All the while, her husband tries to reassure her by telling her it's all in her head. But as Claire investigates, she discovers that the man she loves might know more than he's letting on."
12599,Pokémon: The Movie 2000,Adventure Fantasy Animation ScienceFiction Family,One Person Can Make All The Difference!,"Ash Ketchum must put his skill to the test when he attempts to save the world from destruction. The Greedy Pokemon collector Lawrence III throws the universe into chaos after disrupting the balance of nature by capturing one of the Pokemon birds that rule the elements of fire, lightning and ice. Will Ash have what it takes to save the world?"
93,Anatomy of a Murder,Crime Drama Mystery Thriller,"No search of human emotions has ever probed so deeply, so truthfully as ... Anatomy of a Murder.","The film pits a humble small-town lawyer against a hard-headed big city prosecutor. Emotions flare as a jealous army lieutenant pleads innocent to murdering the rapist of his seductive, beautiful wife."
10276,What About Bob?,Comedy,Bob's a special kind of friend. The kind that drives you crazy!,"Before going on vacation, self-involved psychiatrist Dr. Leo Marvin has the misfortune of taking on a new patient: Bob Wiley. An exemplar of neediness and a compendium of phobias, Bob follows Marvin to his family's country house. Dr. Marvin tries to get him to leave; the trouble is, everyone loves Bob. As his oblivious patient makes himself at home, Dr. Marvin loses his professional composure and, before long, may be ready for the loony bin himself."
11624,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,Comedy,,"A collection of seven vignettes, which each address a question concerning human sexuality."
11686,Love and Death,History Comedy,,"Set in 19th-century Russia, Allen is a cowardly serf drafted into the Napoleonic war, who would rather write poetry and obsess over his beautiful but pretentious cousin. Allen's cowardice serves him well when he hides in a cannon and is shot into a tent of French soldiers, making him a national hero. A hilarious parody of Russian literature, Love and Death is a must-see for fans of Allen's films."
12107,Nutty Professor II: The Klumps,Fantasy Comedy Romance ScienceFiction,The Klumps are back!,"The hilarity begins when professor Sherman Klump finds romance with fellow DNA specialist, Denise Gaines, and discovers a brilliant formula that reverses aging. But Sherman's thin and obnoxious alter ego, Buddy Love, wants out...and a big piece of the action. And when Buddy gets loose, things get seriously nutty."
6282,Coyote Ugly,Comedy Drama Music Romance,This party never ends.,"Graced with a velvet voice, 21-year-old Violet Sanford heads to New York to pursue her dream of becoming a songwriter only to find her aspirations sidelined by the accolades and notoriety she receives at her ""day"" job as a barmaid at Coyote Ugly. The ""Coyotes"" as they are affectionately called tantalize customers and the media alike with their outrageous antics, making Coyote Ugly the watering hole for guys on the prowl."
9383,Hollow Man,Action ScienceFiction Thriller,What would you do if you knew you couldn't be seen?,"Cocky researcher, Sebastian Caine is working on a project to make living creatures invisible and he's so confident he's found the right formula that he tests it on himself and soon begins to vanish. The only problem is – no-one can determine how to make him visible again. Caine's predicament eventually drives him mad, with terrifying results."
5551,Space Cowboys,Action Adventure Thriller,Space will never be the same.,"Frank Corvin, ‘Hawk’ Hawkins, Jerry O'Neill and ‘Tank’ Sullivan were hotdog members of Project Daedalus, the Air Force's test program for space travel, but their hopes were dashed in 1958 with the formation of NASA and the use of trained chimps. They blackmail their way into orbit when Russia's mysterious ‘Ikon’ communications satellite's orbit begins to degrade and threatens to crash to Earth."
11589,Kelly's Heroes,Adventure Comedy War,They set out to rob a bank... and damn near won a war instead!,A misfit group of World War II American soldiers goes AWOL to rob a bank behind German lines.
10393,The Replacements,Comedy,Throw the ball. Catch the girl. Keep it simple.,"Maverick old-guard coach Jimmy McGinty is hired in the wake of a players' strike to help the Washington Sentinels advance to the playoffs. But that impossible dream hinges on whether his replacements can hunker down and do the job. So, McGinty dusts off his secret dossier of ex-players who never got a chance (or screwed up the one they were given) and knits together a bad-dream team of guys who just may give the Sentinels their title shot."
8843,The Cell,Horror ScienceFiction Thriller,Enter The Mind Of A Killer,A psychotherapist journeys inside a comatose serial killer in the hopes of saving his latest victim.
37136,The Naked Gun: From the Files of Police Squad!,Comedy Crime,The Villain. Even Mother Teresa wanted him dead.,"When the incompetent Officer Frank Drebin seeks the ruthless killer of his partner, he stumbles upon an attempt to assassinate Queen Elizabeth."
37137,The Naked Gun 2½: The Smell of Fear,Comedy Crime,If you see only one movie this year...you ought to get out more often,"Bumbling cop Frank Drebin is out to foil the big boys in the energy industry, who intend to suppress technology that will put them out of business."
1588,Bring It On,Comedy,May the best moves win.,"The Toro cheerleading squad from Rancho Carne High School in San Diego has got spirit, spunk, sass and a killer routine that's sure to land them the national championship trophy for the sixth year in a row. But for newly-elected team captain, the Toros' road to total cheer glory takes a shady turn when she discovers that their perfectly-choreographed routines were in fact stolen."
786,Almost Famous,Drama Music,Experience it. Enjoy it. Just don't fall for it.,"Almost Famous is an autobiographical inspired film about a 15-year-old who is hired by Rolling Stone magazine to follow and interview a rock band during their tour. A film about growing up, first love, disappointment, and the life of a rock star."
16,Dancer in the Dark,Drama Crime Music,You don't need eyes to see.,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings."
13785,Best in Show,Comedy,Some pets deserve a little more respect than others.,"The tension is palpable, the excitement is mounting and the heady scent of competition is in the air as hundreds of eager contestants from across America prepare to take part in what is undoubtedly one of the greatest events of their lives -- the Mayflower Dog Show. The canine contestants and their owners are as wondrously diverse as the great country that has bred them."
10637,Remember the Titans,Drama,History is written by the winners.,"After leading his football team to 15 winning seasons, coach Bill Yoast is demoted and replaced by Herman Boone – tough, opinionated and as different from the beloved Yoast as he could be. The two men learn to overcome their differences and turn a group of hostile young men into true champions."
9003,Hellraiser,Horror,He'll tear your soul apart.,"Larry and his wife, Julia move into an old house and discover a hideous creature - the man's half-brother, who is also the woman's former lover - hiding upstairs. Having lost his earthly body to a trio of S&amp;M demons, the Cenobites, Frank, is brought back into existence by a drop of blood on the floor. He soon forces his former mistress to bring him his necessary human sacrifices to complete his body... but the Cenobites won't be happy about this."
9064,Hellbound: Hellraiser II,Horror Thriller,Time to play.,"Doctor Channard is sent a new patient, a girl warning of the terrible creatures that have destroyed her family, Cenobites who offer the most intense sensations of pleasure and pain. But Channard has been searching for the doorway to Hell for years, and Kirsty must follow him to save her father and witness the power struggles among the newly damned."
11569,Hellraiser III: Hell on Earth,Horror Thriller War,"What started in hell, will end on Earth","Pinhead is trapped in a sculpture and fortunately for him the sculpture is bought by a young playboy who owns his own night club. Pinhead busies himself escaping by getting the playboy to lure victims to his presence so he can use their blood. Once free, he seeks to destroy the puzzle cube so he need never return to Hell, but a female reporter is investigating the grisly murders and stands in his way."
10973,Creature from the Black Lagoon,Adventure Horror ScienceFiction,From the Amazon's forbidden depths came the Creature from the Black Lagoon,"A scientific expedition searching for fossils along the Amazon River discover a prehistoric Gill-Man in the legendary Black Lagoon. The explorers capture the mysterious creature, but it breaks free. The Gill-Man returns to kidnap the lovely Kay, fiancée of one of the expedition, with whom it has fallen in love."
10787,The Invisible Man,Horror ScienceFiction,CARL LAEMMLE presents H.G. WELLS' FANTASTIC SENSATION,"Working in Dr. Cranley's laboratory, scientist Jack Griffin was always given the latitude to conduct somhe of his own experiments. His sudden departure, however, has Cranley's daughter Flora worried about him. Griffin has taken a room at the nearby Lion's Head Inn, hoping to reverse an experiment he conducted on himself that made him invisible. Unfortunately, the drug he used has also warped his mind, making him aggressive and dangerous. He's prepared to do whatever it takes to restore his appearance, and several will die in the process."
1597,Meet the Parents,Comedy Romance,First comes love. Then comes the interrogation.,"Greg Focker is ready to marry his girlfriend, Pam, but before he pops the question, he must win over her formidable father, humorless former CIA agent Jack Byrnes, at the wedding of Pam's sister. As Greg bends over backward to make a good impression, his visit to the Byrnes home turns into a hilarious series of disasters, and everything that can go wrong does, all under Jack's critical, hawklike gaze."
641,Requiem for a Dream,Crime Drama,,The hopes and dreams of four ambitious people are shattered when their drug addictions begin spiraling out of control. A look into addiction and how it overcomes the mind and body.
10687,Tigerland,Drama War,The system wanted them to become soldiers. One soldier just wanted to be human.,"A group of recruits go through Advanced Infantry Training at Fort Polk, Louisiana's infamous Tigerland, last stop before Vietnam for tens of thousands of young men in 1971"
2134,The Time Machine,Thriller Adventure Fantasy ScienceFiction Romance,You Will Orbit into the Fantastic Future!,A Victorian Englishman travels to the far future and finds that humanity has divided into two hostile species.
71,Billy Elliot,Drama Comedy Music,Inside every one of us is a special talent waiting to come out. The trick is finding it.,"Set against the background of the 1984 Miner's Strike, Billy Elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes!"
1636,Bedazzled,Fantasy Comedy Romance,Meet the Devil. She's giving Elliott seven wishes. But not a chance in Hell.,"Elliot Richardson, suicidal techno geek, is given seven wishes to turn his life around when he meets up with a very seductive Satan. The catch: his soul. Some of his wishes include a 7 foot basketball star, a rock star, and a hamburger. But, as could be expected, the Devil must put her own little twist on each his fantasies."
10647,Pay It Forward,Drama Romance,"When someone does you a big favor, don't pay it back... Pay It Forward","Like some other kids, 12-year-old Trevor McKinney believed in the goodness of human nature. Like many other kids, he was determined to change the world for the better. Unlike most other kids, he succeeded."
12207,The Legend of Drunken Master,Action Comedy,He's got a secret weapon with a lot of kick.,"Returning home with his father after a shopping expedition, Wong Fei-Hong is unwittingly caught up in the battle between foreigners who wish to export ancient Chinese artifacts and loyalists who don't want the pieces to leave the country. Fei-Hong must fight against the foreigners using his Drunken Boxing style, and overcome his father's antagonism as well."
11531,Book of Shadows: Blair Witch 2,Mystery Thriller Horror,Evil Doesn't Die.,"Young adults become fascinated by the events of the three missing filmmakers in Maryland, so they decide to go into the same woods and find out what really happened."
4327,Charlie's Angels,Action Adventure Comedy Crime Thriller,Get Some Action,"Aspects of this take on the 1970s hit TV series are similar to the original show :Angels Dylan, Natalie and Alex still work for Charlie and interface with Bosley. They still flip their hair, stop traffic with a smile and kick butt. The differences are the unsubtle humor, the martial arts training and the high-tech premise: This time, they're hot on the trail of stolen software."
4958,The Legend of Bagger Vance,Fantasy Drama,It Was Just A Moment Ago.,"World War I has left golfer Rannulph Junuh a poker-playing alcoholic, his perfect swing gone. Now, however, he needs to get it back to play in a tournament to save the financially ravaged golf course of a long-ago sweetheart. Help arrives in the form of mysterious caddy Bagger Vance."
9678,Little Nicky,Comedy Fantasy Romance,He's Never Been To Earth. He's Never Even Slept Over Some Other Dude's House.,"After the lord of darkness decides he will not cede his thrown to any of his three sons, the two most powerful of them escape to Earth to create a kingdom for themselves. This action closes the portal filtering sinful souls to Hell and causes Satan to wither away. He must send his most weak but beloved son, Little Nicky, to Earth to return his brothers to Hell."
11978,Men of Honor,Drama,History is made by those who break the rules.,"Against formidable odds -- and an old-school diving instructor embittered by the U.S. Navy's new, less prejudicial policies -- Carl Brashear sets his sights on becoming the Navy's first African-American master diver in this uplifting true story. Their relationship starts out on the rocks, but fate ultimately conspires to bring the men together into a setting of mutual respect, triumph and honor."
8870,Red Planet,Thriller Action ScienceFiction,Not A Sound. Not A Warning. Not A Chance. Not Alone.,"Astronauts search for solutions to save a dying Earth by searching on Mars, only to have the mission go terribly awry."
681,Diamonds Are Forever,Adventure Action Thriller,The man who made 007 a household number,Diamonds are stolen only to be sold again in the international market. James Bond infiltrates a smuggling mission to find out who’s guilty. The mission takes him to Las Vegas where Bond meets his archenemy Blofeld.
8452,The 6th Day,ScienceFiction,Are You Who You Think You Are,Futuristic action about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.
8871,How the Grinch Stole Christmas,Family Comedy Fantasy,He puts the mean in green.,"Inside a snowflake exists the magical land of Whoville. In Whoville, live the Whos, an almost mutated sort of Munchkin-like people. All the Whos love Christmas, yet just outside of their beloved Whoville lives the Grinch. The Grinch is a nasty creature that hates Christmas, and plots to steal it away from the Whos, whom he equally abhors. Yet a small child, Cindy Lou Who, decides to try befriending the Grinch."
